acronym,id,full_id,all citation
"ע""פ",907/14,"ע""פ 907/14",
"ע""פ",4154/16,"ע""פ 4154/16",
"ת""פ",34003-04-18,"ת""פ 34003-04-18","ע""פ 8045/17,ע""פ 6989/13,ע""פ 1000/15"
"ע""פ",4435/11,"ע""פ 4435/11",
"ע""פ",588/13,"ע""פ 588/13",
"ע""פ",7317/13,"ע""פ 7317/13",
"ע""פ",6861/16,"ע""פ 6861/16",
"ע""פ",7781/03,"ע""פ 7781/03",
"ע""פ",3907/10,"ע""פ 3907/10",
"ע""פ",2944/09,"ע""פ 2944/09",
"ע""פ",3877/16,"ע""פ 3877/16",
"ע""פ",3156/11,"ע""פ 3156/11",
"ת""פ",0395-05-17,"ת""פ 0395-05-17","ת""פ 6904-12-14,ע""פ 5643/14,ע""פ 3429/14,ע""פ 7502/12,ע""פ 4077/17,ע""פ 2718/04,ע""פ 8133/15,ע""פ 3410/17,ע""פ 3651/08,ע""פ 6347/17,ע""פ 1082/14,ע""פ 3156/11,ע""פ 1903/13,ע""פ 4945/13,ע""פ 27/17,ע""פ 4910/13,ע""פ 6583/06,ע""פ 8899/06,ע""פ 2892/13,ע""פ 2944/09,ע""פ 2839/05,ע""פ 6842/14,ע""פ 1323/13"
"ע""פ",9158/16,"ע""פ 9158/16",
"ע""פ",8956/10,"ע""פ 8956/10",
"ע""פ",3047/17,"ע""פ 3047/17",
"ע""פ",5015/15,"ע""פ 5015/15",
"ת""פ",55670-06-17,"ת""פ 55670-06-17","ע""פ 8314/03,ע""פ 32/14,ע""פ 780/16,ע""פ 2957/10,ע""פ 3562/05,ע""פ 8641/12,ע""פ 458/14,ע""פ 6022/10,ע""פ 768/13,ע""פ 5015/15,ע""פ 8956/10,ע""פ 4697/11,ע""פ 3573/08,ע""פ 2057/12"
"ע""פ",5681/14,"ע""פ 5681/14",
"ע""פ",4760/14,"ע""פ 4760/14",
"ע""פ",8416/09,"ע""פ 8416/09",
"ע""פ",5318/03,"ע""פ 5318/03",
"ע""פ",10444/06,"ע""פ 10444/06",
"ע""פ",6753/09,"ע""פ 6753/09",
"ת""פ",55434-08-16,"ת""פ 55434-08-16",
"ע""פ",3336/18,"ע""פ 3336/18",
"ת""פ",336-05-16,"ת""פ 336-05-16",
"ע""פ",2802/18,"ע""פ 2802/18",
"ע""פ",1903/13,"ע""פ 1903/13",
"ת""פ",3244-06-16,"ת""פ 3244-06-16",
"ת""פ",04-06-15,"ת""פ 04-06-15",
"ת""פ",55908-09-17,"ת""פ 55908-09-17","ת""פ 39605-04-11,ע""פ 517/14,ע""פ 5860/14,ע""פ 8721/14,ע""פ 4314/04,ע""פ 6373/11,ע""פ 6459/17,ע""פ 6101/16,ע""פ 1186/15,ע""פ 4375/02,ע""פ 4697/11,ע""פ 4221/13,ע""פ 3120/04"
"ת""פ",49995-09-17,"ת""פ 49995-09-17","ע""פ 7502/12,ע""פ 1323/13"
"ע""פ",3410/17,"ע""פ 3410/17",
"ע""פ",5955/08,"ע""פ 5955/08",
"ע""פ",5065/16,"ע""פ 5065/16",
"ע""פ",5877/13,"ע""פ 5877/13",
"ת""פ",3128-10-14,"ת""פ 3128-10-14",
"ת""פ",13918-08-13,"ת""פ 13918-08-13",
"ע""פ",27/17,"ע""פ 27/17",
"ת""פ",265-07-11,"ת""פ 265-07-11",
"ע""פ",3300/06,"ע""פ 3300/06",
"ת""פ",50551-03-18,"ת""פ 50551-03-18","ע""פ 8045/17,ע""פ 4460/11,ע""פ 2251/11"
"ת""פ",62958-09-17,"ת""פ 62958-09-17",
"ע""פ",6459/17,"ע""פ 6459/17",
"ע""פ",8314/03,"ע""פ 8314/03",
"ת""פ",29269-09-15,"ת""פ 29269-09-15",
"ע""פ",5120/11,"ע""פ 5120/11",
"ת""פ",13632-08-17,"ת""פ 13632-08-17","ת""פ 10690-02-10,ע""פ 4945/13,ע""פ 5643/14,ע""פ 4910/13,ע""פ 6294/10,ע""פ 5318/03,ע""פ 4760/14,ע""פ 2422/14,ע""פ 135/17,ע""פ 4460/11,ע""פ 5604/11,ע""פ 1764/14,ע""פ 1323/13,ע""פ 1332/04,ע""פ 3877/16,ע""פ 2368/11"
"ת""פ",28615-08-17,"ת""פ 28615-08-17","ת""פ 26087-05-16,ע""פ 5668/13,ע""פ 5877/13,ע""פ 8846/15,ת""פ 336-05-16,ת""פ 36093-03-14,ע""פ 5220/09,ע""פ 5913/11,ע""פ 6371/11,ע""פ 761/07,ע""פ 8959/14,ע""פ 2422/14,ע""פ 9702/16,ע""פ 9373/10,ע""פ 2918/13,ע""פ 3156/11,ע""פ 5900/15,ע""פ 1903/13,ע""פ 1332/04,ע""פ 2251/11,ע""פ 2368/11,ע""פ 1261/15,ע""פ 4945/13,ע""פ 27/17,ע""פ 2892/13,ע""פ 5681/14,ע""פ 135/17,ע""פ 1323/13,ע""פ 2398/14,ת""פ 24364-10-16"
"ע""פ",1127/13,"ע""פ 1127/13",
"ת""פ",1094-05-15,"ת""פ 1094-05-15",
"ע""פ",5234/11,"ע""פ 5234/11",
"ת""פ",31034-06-17,"ת""פ 31034-06-17","ע""פ 4945/13,ע""פ 9702/16,ת""פ 17520-03-14,ע""פ 2892/13,ע""פ 7768/15,ע""פ 3156/11,ת""פ 20604-12-09,ע""פ 4329/10,ת""פ 9111-02-15,ע""פ 2398/14,ע""פ 3877/16"
"ע""פ",2626/13,"ע""פ 2626/13",
"ע""פ",5900/15,"ע""פ 5900/15",
"ע""פ",5833/07,"ע""פ 5833/07",
"ע""פ",3450/16,"ע""פ 3450/16",
"ע""פ",2375/15,"ע""פ 2375/15",
"ע""פ",6640/16,"ע""פ 6640/16",
"ע""פ",2368/11,"ע""פ 2368/11",
"ת""פ",20604-12-09,"ת""פ 20604-12-09",
"ע""פ",6816/16,"ע""פ 6816/16",
"ע""פ",319/11,"ע""פ 319/11",
"ע""פ",5080/15,"ע""פ 5080/15",
"ע""פ",8045/17,"ע""פ 8045/17",
"ע""פ",911/14,"ע""פ 911/14",
"ת""פ",273-10-15,"ת""פ 273-10-15",
"ת""פ",40107-01-16,"ת""פ 40107-01-16",
"ע""פ",3657/16,"ע""פ 3657/16",
"ע""פ",8721/14,"ע""פ 8721/14",
"ת""פ",8761-01-14,"ת""פ 8761-01-14",
"ע""פ",517/14,"ע""פ 517/14",
"ע""פ",3288/14,"ע""פ 3288/14",
"ע""פ",2032/15,"ע""פ 2032/15",
"ת""פ",38154-09-17,"ת""פ 38154-09-17","ע""פ 5380/06,ע""פ 5833/07,ע""פ 6210/10,ע""פ 319/11,ע""פ 4526/04,ת""פ 62958-09-17,ע""פ 4450/11,ת""פ 63324-09-17,ע""פ 2422/14"
"ת""פ",31034-06-17,"ת""פ 31034-06-17",
"ת""פ",54432-02-17,"ת""פ 54432-02-17",
"ת""פ",33577-04-12,"ת""פ 33577-04-12",
"ת""פ",48506-10-17,"ת""פ 48506-10-17","ע""פ 4609/98"
"ע""פ",752/90,"ע""פ 752/90",
"ע""פ",1505/14,"ע""פ 1505/14",
"ע""פ",1232/13,"ע""פ 1232/13",
"ע""פ",6074/93,"ע""פ 6074/93",
"ע""פ",2422/14,"ע""פ 2422/14",
"ת""פ",50340-12-12,"ת""פ 50340-12-12",
"ע""פ",6294/10,"ע""פ 6294/10",
